Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (mnd);Minimumstemperatur (mnd)
Lade;SN68050;01.2014;8,7;-16,6
Lade;SN68050;02.2014;12,5;-7,9
Lade;SN68050;03.2014;12,6;-12,3
Lade;SN68050;04.2014;18,2;-4,1
Lade;SN68050;05.2014;24,4;-1,2
Lade;SN68050;06.2014;26,4;4,7
Lade;SN68050;07.2014;31,7;8,3
Lade;SN68050;08.2014;28,4;5,5
Lade;SN68050;09.2014;24;0
Lade;SN68050;10.2014;18,5;-4,4
Lade;SN68050;11.2014;12,4;-7,7
Lade;SN68050;12.2014;10,4;-17
Lade;SN68050;01.2015;6,6;-11,5
Lade;SN68050;02.2015;11,6;-6,7
Lade;SN68050;03.2015;13,6;-4,7
Lade;SN68050;04.2015;14,2;-3
Lade;SN68050;05.2015;18,4;0,6
Lade;SN68050;06.2015;21;4,7
Lade;SN68050;07.2015;26,6;7,8
Lade;SN68050;08.2015;28,5;7,8
Lade;SN68050;09.2015;24,6;5,4
Lade;SN68050;10.2015;15,1;-2
Lade;SN68050;11.2015;14,1;-4
Lade;SN68050;12.2015;10,7;-12,7
Lade;SN68050;01.2016;7,3;-15,1
Lade;SN68050;02.2016;7,7;-9,9
Lade;SN68050;03.2016;13,8;-9,6
Lade;SN68050;04.2016;13;-3,9
Lade;SN68050;05.2016;24,4;1,6
Lade;SN68050;06.2016;22,9;3,6
Lade;SN68050;07.2016;30,6;7,4
Lade;SN68050;08.2016;24,3;6,5
Lade;SN68050;09.2016;20,9;5,3
Lade;SN68050;10.2016;16,2;-4,2
Lade;SN68050;11.2016;9,9;-10,2
Lade;SN68050;12.2016;10,1;-10,8
Lade;SN68050;01.2017;8,4;-14,1
Lade;SN68050;02.2017;7,7;-9,5
Lade;SN68050;03.2017;10,2;-8
Lade;SN68050;08.2017;22,7;3,5
Lade;SN68050;02.2018;6,1;-19,3
Lade;SN68050;03.2018;11;-22,1
Lade;SN68050;04.2018;17,6;-6
Lade;SN68050;05.2018;27,4;0,8
Lade;SN68050;06.2018;23,7;5,1
Lade;SN68050;07.2018;34,1;7,4
Lade;SN68050;08.2018;30;5
Lade;SN68050;09.2018;22,7;3,5
Lade;SN68050;10.2018;22,4;-8,5
Lade;SN68050;11.2018;12,3;-8
Lade;SN68050;12.2018;9,9;-13
Lade;SN68050;01.2019;9;-17,4
Lade;SN68050;02.2019;11;-16,3
Lade;SN68050;03.2019;15,1;-11,6
Lade;SN68050;04.2019;22,1;-7,3
Lade;SN68050;05.2019;24,6;-2,2
Lade;SN68050;06.2019;26,8;4
Lade;SN68050;07.2019;32,7;5,5
Lade;SN68050;08.2019;29,5;5,2
Lade;SN68050;09.2019;22,1;1,4
Lade;SN68050;10.2019;13,4;-5,1
Lade;SN68050;11.2019;7,4;-13,4
Lade;SN68050;12.2019;9,8;-11,6
Lade;SN68050;01.2020;13,1;-4,4
Lade;SN68050;02.2020;8,8;-13,4
Lade;SN68050;03.2020;10,6;-5,6
Lade;SN68050;05.2020;25,7;-0,6
Lade;SN68050;06.2020;32,4;6,2
Lade;SN68050;07.2020;25,6;6
Lade;SN68050;08.2020;27,2;3,4
Lade;SN68050;09.2020;22,4;3,6
Lade;SN68050;10.2020;18,7;-3,1
