Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (mnd);Minimumstemperatur (mnd);Date
Lade;SN68050;01.2014;8.7;-16.6;2014-01-01
Lade;SN68050;02.2014;12.5;-7.9;2014-02-01
Lade;SN68050;03.2014;12.6;-12.3;2014-03-01
Lade;SN68050;04.2014;18.2;-4.1;2014-04-01
Lade;SN68050;05.2014;24.4;-1.2;2014-05-01
Lade;SN68050;06.2014;26.4;4.7;2014-06-01
Lade;SN68050;07.2014;31.7;8.3;2014-07-01
Lade;SN68050;08.2014;28.4;5.5;2014-08-01
Lade;SN68050;09.2014;24.0;0.0;2014-09-01
Lade;SN68050;10.2014;18.5;-4.4;2014-10-01
Lade;SN68050;11.2014;12.4;-7.7;2014-11-01
Lade;SN68050;12.2014;10.4;-17.0;2014-12-01
Lade;SN68050;01.2015;6.6;-11.5;2015-01-01
Lade;SN68050;02.2015;11.6;-6.7;2015-02-01
Lade;SN68050;03.2015;13.6;-4.7;2015-03-01
Lade;SN68050;04.2015;14.2;-3.0;2015-04-01
Lade;SN68050;05.2015;18.4;0.6;2015-05-01
Lade;SN68050;06.2015;21.0;4.7;2015-06-01
Lade;SN68050;07.2015;26.6;7.8;2015-07-01
Lade;SN68050;08.2015;28.5;7.8;2015-08-01
Lade;SN68050;09.2015;24.6;5.4;2015-09-01
Lade;SN68050;10.2015;15.1;-2.0;2015-10-01
Lade;SN68050;11.2015;14.1;-4.0;2015-11-01
Lade;SN68050;12.2015;10.7;-12.7;2015-12-01
Lade;SN68050;01.2016;7.3;-15.1;2016-01-01
Lade;SN68050;02.2016;7.7;-9.9;2016-02-01
Lade;SN68050;03.2016;13.8;-9.6;2016-03-01
Lade;SN68050;04.2016;13.0;-3.9;2016-04-01
Lade;SN68050;05.2016;24.4;1.6;2016-05-01
Lade;SN68050;06.2016;22.9;3.6;2016-06-01
Lade;SN68050;07.2016;30.6;7.4;2016-07-01
Lade;SN68050;08.2016;24.3;6.5;2016-08-01
Lade;SN68050;09.2016;20.9;5.3;2016-09-01
Lade;SN68050;10.2016;16.2;-4.2;2016-10-01
Lade;SN68050;11.2016;9.9;-10.2;2016-11-01
Lade;SN68050;12.2016;10.1;-10.8;2016-12-01
Lade;SN68050;01.2017;8.4;-14.1;2017-01-01
Lade;SN68050;02.2017;7.7;-9.5;2017-02-01
Lade;SN68050;03.2017;10.2;-8.0;2017-03-01
Lade;SN68050;08.2017;22.7;3.5;2017-08-01
Lade;SN68050;02.2018;6.1;-19.3;2018-02-01
Lade;SN68050;03.2018;11.0;-22.1;2018-03-01
Lade;SN68050;04.2018;17.6;-6.0;2018-04-01
Lade;SN68050;05.2018;27.4;0.8;2018-05-01
Lade;SN68050;06.2018;23.7;5.1;2018-06-01
Lade;SN68050;07.2018;34.1;7.4;2018-07-01
Lade;SN68050;08.2018;30.0;5.0;2018-08-01
Lade;SN68050;09.2018;22.7;3.5;2018-09-01
Lade;SN68050;10.2018;22.4;-8.5;2018-10-01
Lade;SN68050;11.2018;12.3;-8.0;2018-11-01
Lade;SN68050;12.2018;9.9;-13.0;2018-12-01
Lade;SN68050;01.2019;9.0;-17.4;2019-01-01
Lade;SN68050;02.2019;11.0;-16.3;2019-02-01
Lade;SN68050;03.2019;15.1;-11.6;2019-03-01
Lade;SN68050;04.2019;22.1;-7.3;2019-04-01
Lade;SN68050;05.2019;24.6;-2.2;2019-05-01
Lade;SN68050;06.2019;26.8;4.0;2019-06-01
